"begin"	"o_group"	"o_id"	"deny"	"acronym"	"name"	"barcode"	"remark"
"01/01/2016 13:45:56"	"m"	"VEND"		"V"	"Ventes"		
"01/01/2016 13:45:56"	"p"	"PLAN"		"F"	"Planification"		
"01/02/2016 13:45:56"	"p"	"PROD"		"P"	"Production"		
"01/02/2016 13:45:56"	"m"	"PACK"		"K"	"Packaging"		
"01/02/2017 00:45:56"	"m"	"COMP"		"C"	"Comptabilite"		"Compétence à acquérir"
"01/01/16"	"SYSTEM"	"ALL"		"*"	"Tous"		"Tout le monde"
"01/01/16"	"SYSTEM"	"IN"		"+"	"Presents"		"Personnes présentes"
"01/01/16"	"SYSTEM"	"OUT"		"-"	"Absents"		"Absents"
"01/01/16"	"SYSTEM"	"ALERT"		"A"	"Alertes"		"Personnes ayant été alertées sur ce sujet"
