start	end	b_group	b_id	c_group	c_id	u_group	u_id	r_group	r_id	p_group	p_id	e_group	e_id	h_group	h_id	m_group	m_id	a_group	a_id	o_group	o_id	n_group	n_id	order	value	unit	category	min	max	start	a_start	a_level	a_media
Fri May 27 13:22:44 2016	Fri May 27 13:23:01 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	PROC	CUVE	ING	meso		MINU								17.0							
Fri May 27 13:22:44 2016	Fri May 27 13:23:01 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	PROC	CUVE	ING	meso		INTR															
Fri May 27 13:24:10 2016	Fri May 27 13:24:29 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	PROC	CUVE	ING	meso		MINU								19.0							
Fri May 27 13:24:10 2016	Fri May 27 13:24:29 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	PROC	CUVE	ING	meso		INTR								3							
Fri May 27 13:32:36 2016	Fri May 27 13:32:52 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	STOC	CITE				TEMP								24.3125			24.3125	24.3125			
Fri May 27 13:39:46 2016	Fri May 27 13:40:02 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	PROC	CUVE	ING	meso		MINU								15.0							
Fri May 27 13:39:46 2016	Fri May 27 13:40:02 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	PROC	CUVE	ING	meso		INTR								2							
Fri May 27 13:41:41 2016	Fri May 27 13:42:06 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	PROC	CUVE	ING	meso		MINU								25.0							
Fri May 27 13:41:41 2016	Fri May 27 13:42:06 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	PROC	CUVE	ING	meso		INTR								5							
Fri May 27 13:50:10 2016	Fri May 27 13:50:27 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	PROC	CUVE	ING	meso		MINU								17.0							
Fri May 27 13:50:10 2016	Fri May 27 13:50:27 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	PROC	CUVE	ING	meso		INTR								4							
Fri May 27 13:54:22 2016	Fri May 27 13:55:01 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	PROC	CUVE	ING	meso		MINU								39.0							
Fri May 27 13:54:22 2016	Fri May 27 13:55:01 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	PROC	CUVE	ING	meso		INTR								6							
Fri May 27 13:55:01 2016	Fri May 27 13:55:24 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	PROC	CUVE	ING	thermo		MINU								23.0							
Fri May 27 13:55:01 2016	Fri May 27 13:55:24 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	PROC	CUVE	ING	thermo		TEMP															
Fri May 27 13:55:01 2016	Fri May 27 13:55:24 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	PROC	CUVE	ING	thermo		INTR								8							
Fri May 27 13:57:17 2016	Fri May 27 13:57:45 2016	STOCK	20160722TV			mngr	1		TV	PROD	AFF			PROC	saum		QTITE								6							
Fri May 27 13:57:17 2016	Fri May 27 13:57:45 2016	STOCK	20160722TV			mngr	1		TV	PROD	AFF			PROC	saum		MINU								27.0							
Fri May 27 13:57:17 2016	Fri May 27 13:57:45 2016	STOCK	20160722TV			mngr	1		TV	PROD	AFF			PROC	saum		TEMP								24.125			24.0938	24.1562			
Fri May 27 14:00:58 2016	Fri May 27 14:01:19 2016	STOCK	20160720TV			mngr	1		TV	PROD	FRM	PROC	CUVE	VER	text		OK								1							
