"language"	"name"	"begin"	"p_group"	"deny"	"acronym"	"barcode"	"p_id"	"remark"	"welcome"
francais	nom	début	groupe	déni	acronyme	codebarre	id	remarque	Bienvenue
english	name	begin	group	deny	acronym	barcode	id	remark	Welcome
nederlands	naam	begin	groep	ontkenning	acroniem	streepjescode	id	opmerking	Welcom
deutsch	name	afang	gruppe	ablehnung	akronym	strichcode	id	bemerkung	Willkommen
