begin	p_group	p_id	deny	acronym	name	barcode	remark
01/01/2016 00:00:00	LPF	CHAP		Chapi	Chapiteau	3400000000012	
01/01/2016 00:00:00	LPF	ENV		Exte	Exterieur	3400000000029	
